artist_input,wikidata_uri,label,country,country_lat,country_lon,birth,birth_place,birth_lat,birth_lon,death,death_place
Alessandro Tagliolini,http://www.wikidata.org/entity/Q20897970,Alessandro Tagliolini,Reino da Itália,41.9,12.5,1931-08-29T00:00:00Z,Roma,41.893055,12.482778,2000-07-11T00:00:00Z,Pietrasanta
Alex Flemming,http://www.wikidata.org/entity/Q9601538,Alex Flemming,Brasil,-14.0,-53.0,1954-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Alex Mlynárcik,,,,,,,,,,,
Alex Vallauri,http://www.wikidata.org/entity/Q9601666,Alex Vallauri,Brasil,-14.0,-53.0,1949-10-09T00:00:00Z,Asmara,15.333333,38.916668,1987-03-27T00:00:00Z,São Paulo
Alexandre Bonnier,http://www.wikidata.org/entity/Q19606790,Alexandre Bonnier,França,47.0,2.0,1932-11-09T00:00:00Z,Chalon-sur-Saône,46.781113,4.853889,1992-08-09T00:00:00Z,Paris
Alexandre Cruz (Sesper),,,,,,,,,,,
Alexandre Wollner,http://www.wikidata.org/entity/Q9602390,Alexandre Wollner,Brasil,-14.0,-53.0,1928-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,2018-05-04T00:00:00Z,São Paulo
Alexandrina Ghetie,,,,,,,,,,,
Alfred Hrdlicka,http://www.wikidata.org/entity/Q78646,Alfred Hrdlicka,Áustria,48.0,14.0,1928-02-27T00:00:00Z,Viena,48.208332,16.3725,2009-12-05T00:00:00Z,Viena
Alfred Kubin,,,,,,,,,,,
Alfred Leslie,http://www.wikidata.org/entity/Q577242,Alfred Leslie,Estados Unidos,39.828175,-98.5795,1927-10-29T00:00:00Z,Nova Iorque,40.712776,-74.00611,2023-01-27T00:00:00Z,Brooklyn
Alfred Manessier,http://www.wikidata.org/entity/Q664268,Alfred Manessier,França,47.0,2.0,1911-12-05T00:00:00Z,Saint-Ouen,50.036945,2.1219444,1993-08-01T00:00:00Z,Orleães
Alfredo Grieco,,,,,,,,,,,
Alfredo Nicolaievsky,,,,,,,,,,,
Alfredo Portillos,,,,,,,,,,,
Alfredo Testoni,http://www.wikidata.org/entity/Q3611511,Alfredo Testoni,Reino da Itália,41.9,12.5,1856-10-11T00:00:00Z,Bolonha,44.49389,11.342778,1931-12-17T00:00:00Z,Bolonha
Alfredo Volpi,http://www.wikidata.org/entity/Q1788014,Alfredo Volpi,Brasil,-14.0,-53.0,1896-04-14T00:00:00Z,Lucca,43.85,10.516666,1988-04-28T00:00:00Z,São Paulo
Alice Brill,http://www.wikidata.org/entity/Q54441081,Alice Brill,Alemanha,51.0,10.0,1920-12-13T00:00:00Z,Colónia,50.942223,6.957778,2013-06-29T00:00:00Z,São Paulo
Aligi Sassu,http://www.wikidata.org/entity/Q2736997,Aligi Sassu,Reino da Itália,41.9,12.5,1912-07-17T00:00:00Z,Milão,45.466946,9.19,2000-07-17T00:00:00Z,Pollença
Almandrade,,,,,,,,,,,
Almir Mavignier,http://www.wikidata.org/entity/Q1438306,Almir Mavignier,Brasil,-14.0,-53.0,1925-05-01T00:00:00Z,Rio de Janeiro,-22.911112,-43.205555,2018-09-03T00:00:00Z,Hamburgo
Aloísio Magalhães,,,,,,,,,,,
Alvaro Amengual,,,,,,,,,,,
Alvaro Carmenes,,,,,,,,,,,
Alzira Fragoso,,,,,,,,,,,
Amedeo Modigliani,http://www.wikidata.org/entity/Q120993,Amedeo Modigliani,Reino da Itália,41.9,12.5,1884-07-12T00:00:00Z,Livorno,43.55,10.316667,1920-01-24T00:00:00Z,Hôpital de la Charité
Amelia Pelaez,,,,,,,,,,,
Americo Sposito,,,,,,,,,,,
Amália Pasqualina Fernandes Filha,,,,,,,,,,,
Amílcar de Castro,http://www.wikidata.org/entity/Q949563,Amilcar de Castro,Brasil,-14.0,-53.0,1920-06-08T00:00:00Z,Paraisópolis,-22.553888,-45.78,2002-11-21T00:00:00Z,Belo Horizonte
Ana Alice Francisquetti,,,,,,,,,,,
Ana Cristina Andrade,,,,,,,,,,,
Analívia Cordeiro,http://www.wikidata.org/entity/Q42533841,Analívia Cordeiro,Brasil,-14.0,-53.0,1954-02-22T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Anatol Wladyslaw,,,,,,,,,,,
"Andrea Cascella , Pietro Cascella",,,,,,,,,,,
Andrea Montin,,,,,,,,,,,
Andrzej Lachowicz,http://www.wikidata.org/entity/Q11685972,Andrzej Lachowicz,Polónia,52.0,19.0,1939-08-14T00:00:00Z,Vilnius,54.68722,25.28,2015-12-30T00:00:00Z,Breslávia
"André Bruyère , Fernand Léger",,,,,,,,,,,
André Lhote,http://www.wikidata.org/entity/Q463065,André Lhote,França,47.0,2.0,1885-07-05T00:00:00Z,Bordéus,44.837776,-0.57944447,1962-01-24T00:00:00Z,Paris
André Ricardo,http://www.wikidata.org/entity/Q9614574,André Ricardo,Brasil,-14.0,-53.0,1954-10-28T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Andréa Brown,,,,,,,,,,,
Andrés Vásquez Gloria,,,,,,,,,,,
Anhelo Hernandez,,,,,,,,,,,
Anita Malfatti,http://www.wikidata.org/entity/Q465919,Anita Malfatti,Brasil,-14.0,-53.0,1889-12-02T00:00:00Z,São Paulo,-23.550394,-46.633945,1964-11-06T00:00:00Z,São Paulo
Anna Bella Geiger,http://www.wikidata.org/entity/Q4766844,Anna Bella Geiger,Brasil,-14.0,-53.0,1933-04-04T00:00:00Z,Rio de Janeiro,-22.911112,-43.205555,,
Anna Kutera,http://www.wikidata.org/entity/Q89352242,Anna Kutera,Polónia,52.0,19.0,1952-06-16T00:00:00Z,Zgorzelec,51.15278,15.0,,
Anna Letycia,,,,,,,,,,,
Anna Luiza Bellucci,,,,,,,,,,,
Anna Maria Maiolino,http://www.wikidata.org/entity/Q593656,Anna Maria Maiolino,Brasil,-14.0,-53.0,1942-05-20T00:00:00Z,Scalea,39.80486,15.79686,,
