artist_input,wikidata_uri,label,country,country_lat,country_lon,birth,birth_place,birth_lat,birth_lon,death,death_place
Corrado Cagli,http://www.wikidata.org/entity/Q2997862,Corrado Cagli,Reino da Itália,41.9,12.5,1910-02-23T00:00:00Z,Ancona,43.616665,13.516666,1976-03-28T00:00:00Z,Roma
Cristian Segura,,,,,,,,,,,
Cristiano Mascaro,http://www.wikidata.org/entity/Q10261644,Cristiano Mascaro,Brasil,-14.0,-53.0,1944-10-22T00:00:00Z,Catanduva,-21.137777,-48.97278,,
Cristina Carvalheira,,,,,,,,,,,
Cybèle Varela,http://www.wikidata.org/entity/Q1439610,Cybèle Varela,Brasil,-14.0,-53.0,1943-08-28T00:00:00Z,Petrópolis,-22.505,-43.17889,,
Cyprien Kablan,,,,,,,,,,,
Cássio Michalany,,,,,,,,,,,
Célia Cymbalista,http://www.wikidata.org/entity/Q110318730,Célia Cymbalista,Brasil,-14.0,-53.0,1943-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
César Baldaccini,http://www.wikidata.org/entity/Q445065,César Baldaccini,França,47.0,2.0,1921-01-01T00:00:00Z,Marselha,43.296665,5.376389,1998-12-06T00:00:00Z,7.º arrondissement de Paris
César Domela,http://www.wikidata.org/entity/Q2717011,César Domela,Reino dos Países Baixos,52.366665,4.883333,1900-01-15T00:00:00Z,Amesterdão,52.366665,4.883333,1992-12-30T00:00:00Z,Paris
César Lacanna,http://www.wikidata.org/entity/Q27836000,César Lacanna,Brasil,-14.0,-53.0,1901-10-04T00:00:00Z,São Paulo,-23.550394,-46.633945,1983-12-20T00:00:00Z,
Cíntia Bach,,,,,,,,,,,
Daniel Acosta,,,,,,,,,,,
Daniel Den Dikkenboer,,,,,,,,,,,
Daniel Senise,http://www.wikidata.org/entity/Q10263997,Daniel Senise,Brasil,-14.0,-53.0,1955-01-01T00:00:00Z,Rio de Janeiro,-22.911112,-43.205555,,
Daniel Wojdylo,,,,,,,,,,,
Daniele Oppi,http://www.wikidata.org/entity/Q3702036,Daniele Oppi,Reino da Itália,41.9,12.5,1932-02-09T00:00:00Z,Milão,45.466946,9.19,2006-02-25T00:00:00Z,Milão
Danilo Di Prete,http://www.wikidata.org/entity/Q10264067,Danilo Di Prete,Brasil,-14.0,-53.0,1911-06-17T00:00:00Z,Pisa,43.716667,10.4,1985-03-08T00:00:00Z,São Paulo
Danuta Kolwzan-Nowicka,,,,,,,,,,,
Danuta Osadczy,,,,,,,,,,,
Danúbio Gonçalves,http://www.wikidata.org/entity/Q10264178,Danúbio Gonçalves,Brasil,-14.0,-53.0,1925-01-30T00:00:00Z,Bagé,-31.330833,-54.106945,2019-04-21T00:00:00Z,
Darcy Penteado,http://www.wikidata.org/entity/Q10264208,Darcy Penteado,Brasil,-14.0,-53.0,1926-01-01T00:00:00Z,São Roque,-23.528889,-47.135,1987-12-02T00:00:00Z,São Paulo
Davi Det Hompson,http://www.wikidata.org/entity/Q22696566,Davi Det Hompson,Estados Unidos,39.828175,-98.5795,1939-08-07T00:00:00Z,Sharon,41.2333,-80.5,1996-12-08T00:00:00Z,Richmond
David Perlov,http://www.wikidata.org/entity/Q1408673,David Perlov,Israel,31.0,35.0,1930-05-09T00:00:00Z,Rio de Janeiro,-22.911112,-43.205555,2003-12-13T00:00:00Z,Tel Aviv
David de Tewenoir,,,,,,,,,,,
Deborah Paiva,,,,,,,,,,,
Demián Flores,http://www.wikidata.org/entity/Q5255449,Demían Flores Cortes,México,23.0,-102.0,1971-01-01T00:00:00Z,Juchitán de Zaragoza,16.433332,-95.01945,,
Denilson Baniwa,http://www.wikidata.org/entity/Q94787393,Denilson Baniwa,Brasil,-14.0,-53.0,1984-04-18T00:00:00Z,Barcelos,-0.975,-62.92389,,
Denise Milan,http://www.wikidata.org/entity/Q10265089,Denise Milan,Brasil,-14.0,-53.0,1954-07-16T00:00:00Z,São Paulo,-23.550394,-46.633945,,
"Denise Milan , Ary Rodrigo Perez",,,,,,,,,,,
Dick Higgins,http://www.wikidata.org/entity/Q1209700,Dick Higgins,Reino Unido,54.6,-2.0,1938-03-15T00:00:00Z,Cambridge,52.208057,0.1225,1998-10-25T00:00:00Z,Quebec
Didonet Thomaz,,,,,,,,,,,
Diego Barboza,http://www.wikidata.org/entity/Q18620453,Diego Barboza,Uruguai,-33.0,-56.0,1991-01-09T00:00:00Z,Montevidéu,-34.90592,-56.19131,,
Dimitri Ismailovitch,,,,,,,,,,,
Ding Musa,,,,,,,,,,,
Diogo Serra,,,,,,,,,,,
Dione Veiga Vieira,,,,,,,,,,,
Diva Buss,,,,,,,,,,,
Djanira,,,,,,,,,,,
Djanira Volpi,,,,,,,,,,,
Dolly Moreno,http://www.wikidata.org/entity/Q51658885,Dolly Moreno,Egito,27.0,29.0,,Alexandria,31.1975,29.8925,,
Domingo Ferreira,http://www.wikidata.org/entity/Q21811976,Domingo Ferreira,Uruguai,-33.0,-56.0,1940-04-05T00:00:00Z,Tacuarembó,-31.711048,-55.978878,,
Donato Chiarella,,,,,,,,,,,
"Donato Chiarella , Regina Silveira",,,,,,,,,,,
Dorr Bothwell,http://www.wikidata.org/entity/Q5298723,Dorr Bothwell,Estados Unidos,39.828175,-98.5795,1902-05-03T00:00:00Z,São Francisco,37.775,-122.41944,2000-09-24T00:00:00Z,Fort Bragg
Dov Or Ner,http://www.wikidata.org/entity/Q6583609,Dov Or Ner,Israel,31.0,35.0,1927-03-05T00:00:00Z,Paris,48.856667,2.3522222,2024-03-25T00:00:00Z,
Dudi Maia Rosa,http://www.wikidata.org/entity/Q23892628,Dudi Maia Rosa,Brasil,-14.0,-53.0,1946-12-26T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Dudu Santos,,,,,,,,,,,
Dámaso Ogaz,,,,,,,,,,,
Décio Pignatari,http://www.wikidata.org/entity/Q335799,Décio Pignatari,Brasil,-14.0,-53.0,1927-08-20T00:00:00Z,Jundiaí,-23.186388,-46.884167,2012-12-02T00:00:00Z,São Paulo
EQUIPE 9,,,,,,,,,,,
Ed Paschke,http://www.wikidata.org/entity/Q3047197,Ed Paschke,Estados Unidos,39.828175,-98.5795,1939-06-22T00:00:00Z,Chicago,41.881943,-87.62778,2004-11-25T00:00:00Z,Chicago
Edgar Koetz,http://www.wikidata.org/entity/Q10270172,Edgar Koetz,Brasil,-14.0,-53.0,1913-01-01T00:00:00Z,Porto Alegre,-30.032778,-51.23,1969-01-01T00:00:00Z,
Edith Behring,http://www.wikidata.org/entity/Q16940071,Edith Behring,Brasil,-14.0,-53.0,1916-01-01T00:00:00Z,Rio de Janeiro,-22.911112,-43.205555,1996-01-01T00:00:00Z,Rio de Janeiro
Edo Rocha,,,,,,,,,,,
Edu Marin,,,,,,,,,,,
Eduardo Alvim Correia,,,,,,,,,,,
Eduardo Diaz Yepes,,,,,,,,,,,
Eduardo Eloy,http://www.wikidata.org/entity/Q10270666,Eduardo Eloy,Brasil,-14.0,-53.0,,Fortaleza,-3.7275,-38.5275,,
Eduardo Giusiano,,,,,,,,,,,
Eduardo Jonquières,,,,,,,,,,,
Eduardo Paolozzi,http://www.wikidata.org/entity/Q165397,Eduardo Paolozzi,Reino Unido,54.6,-2.0,1924-03-07T00:00:00Z,Leith,55.9801,-3.17005,2005-04-22T00:00:00Z,Londres
Eduardo Ramírez Villamizar,http://www.wikidata.org/entity/Q2778676,Eduardo Ramírez Villamizar,Colômbia,4.0,-73.25,1922-08-27T00:00:00Z,Pamplona,7.376111,-72.64833,2004-08-23T00:00:00Z,Bogotá
Edward Grochowicz,http://www.wikidata.org/entity/Q39039400,Edward Grochowicz,Polónia,52.0,19.0,1939-05-21T00:00:00Z,Varsóvia,52.23,21.01111,2014-03-08T00:00:00Z,
Edward Landon,,,,,,,,,,,
Egon Schiele,http://www.wikidata.org/entity/Q44032,Egon Schiele,Os Reinos e Terras Representados no Conselho Imperial,48.5,16.383333,1890-06-12T00:00:00Z,Tulln an der Donau,48.333332,16.05,1918-10-31T00:00:00Z,Viena
Elaine Tedesco,,,,,,,,,,,
Eleonore Koch,http://www.wikidata.org/entity/Q27510817,Eleonore Koch,Alemanha,51.0,10.0,1926-04-02T00:00:00Z,Berlim,52.516666,13.383333,2018-08-01T00:00:00Z,São Paulo
Eliane Prolik,http://www.wikidata.org/entity/Q47456271,Eliane Prolik,Brasil,-14.0,-53.0,1960-01-01T00:00:00Z,Curitiba,-25.429722,-49.271946,,
Elida Tessler,http://www.wikidata.org/entity/Q24040299,Elida Tessler,Brasil,-14.0,-53.0,1961-01-01T00:00:00Z,Porto Alegre,-30.032778,-51.23,,
Elisa Martins da Silveira,http://www.wikidata.org/entity/Q10271934,Elisa Martins da Silveira,Brasil,-14.0,-53.0,1912-01-01T00:00:00Z,Teresina,-5.0902777,-42.816666,2001-04-28T00:00:00Z,Rio de Janeiro
Elisabete Bahiana,,,,,,,,,,,
Elizabeth Nobiling,,,,,,,,,,,
Eloy Tarcisio,http://www.wikidata.org/entity/Q59484115,Eloy Tarcisio,México,23.0,-102.0,1955-07-26T00:00:00Z,Cidade do México,19.353773,-99.13589,,
Elsa Saft Theilheirmer,,,,,,,,,,,
Elza O. S.,,,,,,,,,,,
Emanoel Araújo,http://www.wikidata.org/entity/Q18707930,Emanoel Araújo,Brasil,-14.0,-53.0,1940-11-15T00:00:00Z,Santo Amaro,-12.546945,-38.711945,2022-09-07T00:00:00Z,São Paulo
Emeric Marcier,http://www.wikidata.org/entity/Q10272372,Emeric Marcier,Brasil,-14.0,-53.0,1916-07-06T00:00:00Z,Cluj-Napoca,46.76891,23.59066,1990-09-01T00:00:00Z,Paris
Emerik Fejes,,,,,,,,,,,
Emi Nakano,,,,,,,,,,,
Emile Geissberger,,,,,,,,,,,
Emile Gilioli,,,,,,,,,,,
Emiliano Di Cavalcanti,,,,,,,,,,,
Emiliano Gironella,http://www.wikidata.org/entity/Q59462080,Emiliano Gironella,México,23.0,-102.0,1972-01-01T00:00:00Z,Cidade do México,19.353773,-99.13589,,
Emilio Vedova,http://www.wikidata.org/entity/Q664257,Emilio Vedova,Reino da Itália,41.9,12.5,1919-08-09T00:00:00Z,Veneza,45.439724,12.331944,2006-10-25T00:00:00Z,Veneza
Emmanuel Nassar,http://www.wikidata.org/entity/Q10272459,Emmanuel Nassar,Brasil,-14.0,-53.0,1949-01-01T00:00:00Z,Capanema,-1.1958333,-47.180832,,
Emídio de Souza,,,,,,,,,,,
Emília Ceccarelli,,,,,,,,,,,
Enio Iommi,http://www.wikidata.org/entity/Q13242792,Ennio Iommi,Argentina,-34.0,-64.0,1926-03-20T00:00:00Z,Rosário,-32.9575,-60.639446,2013-05-13T00:00:00Z,San Justo
Enrico Bianco,http://www.wikidata.org/entity/Q8776077,Enrico Bianco,Brasil,-14.0,-53.0,1918-01-01T00:00:00Z,Roma,41.893055,12.482778,2013-03-08T00:00:00Z,Rio de Janeiro
Enrique Badaro,,,,,,,,,,,
Enrique Gaona,,,,,,,,,,,
Enzo Colabri,,,,,,,,,,,
Erich Hauser,http://www.wikidata.org/entity/Q458571,Erich Hauser,Alemanha,51.0,10.0,1930-12-15T00:00:00Z,Rietheim-Weilheim,48.025833,8.774167,2004-03-28T00:00:00Z,Rottweil
Erkki Hervo,http://www.wikidata.org/entity/Q11858292,Erkki Hervo,Finlândia,65.0,27.0,1924-06-11T00:00:00Z,Helsínquia,60.170834,24.9375,1994-09-05T00:00:00Z,
Ermelindo Nardin,http://www.wikidata.org/entity/Q94296791,Ermelindo Nardin,Brasil,-14.0,-53.0,1943-02-19T00:00:00Z,Piracicaba,-22.725164,-47.649326,,
Ernest David Roth,http://www.wikidata.org/entity/Q18508149,Ernest David Roth,Estados Unidos,39.828175,-98.5795,1879-01-01T00:00:00Z,Estugarda,48.7775,9.18,1964-01-01T00:00:00Z,Redding
Ernest Muller,,,,,,,,,,,
Ernesto Meyer Filho,http://www.wikidata.org/entity/Q10274081,Ernesto Meyer Filho,Brasil,-14.0,-53.0,1919-12-04T00:00:00Z,Itajaí,-26.907778,-48.661945,1991-06-22T00:00:00Z,Florianópolis
Ernesto de Fiori,http://www.wikidata.org/entity/Q216342,Ernesto De Fiori,Reino da Itália,41.9,12.5,1884-12-12T00:00:00Z,Roma,41.893055,12.482778,1945-04-24T00:00:00Z,São Paulo
Ester Grinspum,,,,,,,,,,,
Euclides Sandoval,,,,,,,,,,,
Eugenio Prati,http://www.wikidata.org/entity/Q3734421,Eugenio Prati,Reino da Itália,41.9,12.5,1842-01-27T00:00:00Z,Caldonazzo,46.0,11.266666,1907-03-08T00:00:00Z,Caldonazzo
Eunibaldo,,,,,,,,,,,
Everett Spruce,http://www.wikidata.org/entity/Q18618565,Everett Spruce,Estados Unidos,39.828175,-98.5795,1908-01-01T00:00:00Z,Conway,35.087223,-92.45333,2002-01-01T00:00:00Z,Austin
Evert Lundquist,http://www.wikidata.org/entity/Q353803,Evert Lundquist,Suécia,61.0,15.0,1900-02-27T00:00:00Z,Gotemburgo,57.7075,11.9675,1979-02-19T00:00:00Z,Gotemburgo
F. Vignanelli,,,,,,,,,,,
Fabiana de Barros,http://www.wikidata.org/entity/Q16152092,Fabiana de Barros,Brasil,-14.0,-53.0,1957-11-27T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Fabiano Gonper,,,,,,,,,,,
Fabio Mauroner,http://www.wikidata.org/entity/Q3737779,Fabio Mauroner,Reino da Itália,41.9,12.5,1884-01-01T00:00:00Z,Santa Maria la Longa,45.933613,13.29,1948-01-01T00:00:00Z,Veneza
Fabrizio Clerici,http://www.wikidata.org/entity/Q1390849,Fabrizio Clerici,Reino da Itália,41.9,12.5,1913-05-15T00:00:00Z,Milão,45.466946,9.19,1993-06-07T00:00:00Z,Roma
Farnese de Andrade,http://www.wikidata.org/entity/Q10280092,Farnese de Andrade,Brasil,-14.0,-53.0,1926-01-26T00:00:00Z,Araguari,-18.64889,-48.186943,1996-07-18T00:00:00Z,Rio de Janeiro
Fausto Pirandello,http://www.wikidata.org/entity/Q2061628,Fausto Pirandello,Reino da Itália,41.9,12.5,1899-06-17T00:00:00Z,Roma,41.893055,12.482778,1975-11-30T00:00:00Z,Roma
Fayga Ostrower,http://www.wikidata.org/entity/Q298814,Fayga Ostrower,Brasil,-14.0,-53.0,1920-09-14T00:00:00Z,Łódź,51.75,19.466667,2001-09-12T00:00:00Z,Rio de Janeiro
Felice Carena,http://www.wikidata.org/entity/Q461677,Felice Carena,Reino da Itália,41.9,12.5,1879-08-13T00:00:00Z,Cumiana,44.97974,7.376717,1966-06-10T00:00:00Z,Veneza
Felice Casorati,http://www.wikidata.org/entity/Q225208,Felice Casorati,Reino da Itália,41.9,12.5,1835-12-17T00:00:00Z,Pavia,45.18528,9.155,1890-09-11T00:00:00Z,Pavia
Felice Melis Marini,http://www.wikidata.org/entity/Q50298531,Felice Melis Marini,Itália,42.5,12.5,1871-01-01T00:00:00Z,Cagliari,39.216667,9.116667,1953-01-01T00:00:00Z,Cagliari
Felipe Cama,,,,,,,,,,,
Felipe Ehrenberg,http://www.wikidata.org/entity/Q10280980,Felipe Ehrenberg,México,23.0,-102.0,1943-06-27T00:00:00Z,Cidade do México,19.353773,-99.13589,2017-05-15T00:00:00Z,
Felícia Leirner,http://www.wikidata.org/entity/Q4745759,Felícia Leirner,Brasil,-14.0,-53.0,1904-01-01T00:00:00Z,Varsóvia,52.23,21.01111,1996-01-01T00:00:00Z,São Paulo
Feres Khoury,,,,,,,,,,,
Fernand Léger,http://www.wikidata.org/entity/Q157183,Fernand Léger,França,47.0,2.0,1881-02-04T00:00:00Z,Argentan,48.744446,-0.020277778,1955-08-17T00:00:00Z,Gif-sur-Yvette
Fernando Aceves Humana,http://www.wikidata.org/entity/Q28784517,Fernando Aceves Humana,México,23.0,-102.0,1969-01-01T00:00:00Z,Cidade do México,19.353773,-99.13589,,
Fernando Cabezudo,http://www.wikidata.org/entity/Q42386465,Fernando Cabezudo,Uruguai,-33.0,-56.0,1927-01-06T00:00:00Z,Montevidéu,-34.90592,-56.19131,2014-08-11T00:00:00Z,
Fernando Cerqueira Lemos,,,,,,,,,,,
Fernando Lemos,http://www.wikidata.org/entity/Q10281405,Fernando Lemos,Brasil,-14.0,-53.0,1926-05-03T00:00:00Z,Lisboa,38.708042,-9.139016,2019-12-17T00:00:00Z,
Fernando Lindote,,,,,,,,,,,
Fernando Lion,,,,,,,,,,,
Fernando Luiz Fogliano,,,,,,,,,,,
Fernando Magalhães Velloso,,,,,,,,,,,
Fernando Odriozola,,,,,,,,,,,
Fernando Piola,,,,,,,,,,,
Fernando Szyszlo,,,,,,,,,,,
Filippo De Pisis,http://www.wikidata.org/entity/Q661473,Filippo de Pisis,Reino da Itália,41.9,12.5,1896-05-11T00:00:00Z,Ferrara,44.83917,11.6175,1956-04-02T00:00:00Z,Milão
Flavio Garciandia de Oraa,,,,,,,,,,,
Flor Minor,http://www.wikidata.org/entity/Q21010149,Flor Minor,México,23.0,-102.0,1961-01-01T00:00:00Z,Santiago de Querétaro,20.588055,-100.388054,,
Flávio Cerqueira,http://www.wikidata.org/entity/Q5463712,Flávio Cerqueira,Portugal,38.7,-9.183333,1981-08-23T00:00:00Z,Porto,41.15,-8.610833,,
Flávio de Carvalho,,,,,,,,,,,
Flávio-Shiró,,,,,,,,,,,
Frances Manacher,,,,,,,,,,,
Francesc Domingo,http://www.wikidata.org/entity/Q8962168,Francesc Domingo Segura,Brasil,-14.0,-53.0,1893-03-06T00:00:00Z,Barcelona,41.3825,2.1769445,1974-06-25T00:00:00Z,São Paulo
Francesco Menzio,http://www.wikidata.org/entity/Q3750286,Francesco Menzio,Reino da Itália,41.9,12.5,1899-04-03T00:00:00Z,Tempio Pausania,40.901478,9.104362,1979-11-27T00:00:00Z,Turim
Francesco Somaini,http://www.wikidata.org/entity/Q2119700,Francesco Somaini,Reino da Itália,41.9,12.5,1926-08-06T00:00:00Z,Lomazzo,45.7,9.033334,2005-11-19T00:00:00Z,Como
Francis Picabia,,,,,,,,,,,
Francisca Carolina Do Val,,,,,,,,,,,
Francisco Biojone,,,,,,,,,,,
Francisco Brennand,http://www.wikidata.org/entity/Q3750972,Francisco Brennand,Brasil,-14.0,-53.0,1927-06-11T00:00:00Z,Recife,-8.053889,-34.880833,2019-12-19T00:00:00Z,Recife
Francisco Castro Leñero,http://www.wikidata.org/entity/Q5865417,Francisco Castro Leñero,México,23.0,-102.0,1954-07-05T00:00:00Z,Cidade do México,19.353773,-99.13589,2022-10-24T00:00:00Z,
Francisco Copello,http://www.wikidata.org/entity/Q24994160,Francisco Copello,Chile,-33.0,-71.0,1938-05-21T00:00:00Z,Santiago,-33.4375,-70.65,2006-05-11T00:00:00Z,Santiago
Francisco Cuoco,http://www.wikidata.org/entity/Q793844,Francisco Cuoco,Brasil,-14.0,-53.0,1933-11-29T00:00:00Z,São Paulo,-23.550394,-46.633945,2025-06-19T00:00:00Z,São Paulo
Francisco Domingos da Silva,,,,,,,,,,,
Francisco Klinger Carvalho,http://www.wikidata.org/entity/Q10284899,Francisco Klinger Carvalho,Brasil,-14.0,-53.0,1966-02-22T00:00:00Z,Óbidos,-1.9177778,-55.517776,,
Francisco Rebolo Gonsales,,,,,,,,,,,
Francisco Stockinger,http://www.wikidata.org/entity/Q1791056,Francisco Stockinger,Brasil,-14.0,-53.0,1919-08-07T00:00:00Z,Traun,48.22167,14.239722,2009-04-12T00:00:00Z,Porto Alegre
Franco Aceves Humana,http://www.wikidata.org/entity/Q43131763,Franco Aceves Humana,México,23.0,-102.0,1965-01-01T00:00:00Z,Cidade do México,19.353773,-99.13589,,
Franco Corradini,,,,,,,,,,,
Franco Mapelli,,,,,,,,,,,
Franco Pizzi,,,,,,,,,,,
Frank Stella,http://www.wikidata.org/entity/Q375268,Frank Stella,Estados Unidos,39.828175,-98.5795,1936-05-12T00:00:00Z,Malden,42.425,-71.066666,2024-05-04T00:00:00Z,Manhattan
Frans Krajcberg,http://www.wikidata.org/entity/Q769610,Frans Krajcberg,Brasil,-14.0,-53.0,1921-04-12T00:00:00Z,Kozienice,51.585556,21.551111,2017-11-15T00:00:00Z,Rio de Janeiro
Franz Weissmann,http://www.wikidata.org/entity/Q1791068,Franz Weissmann,Brasil,-14.0,-53.0,1911-09-15T00:00:00Z,Knittelfeld,47.215,14.829445,2005-07-18T00:00:00Z,Rio de Janeiro
François Stahly,http://www.wikidata.org/entity/Q468744,François Stahly,Alemanha,51.0,10.0,1911-03-08T00:00:00Z,Constança,47.663334,9.175278,2006-07-02T00:00:00Z,Meudon
Fred Forest,http://www.wikidata.org/entity/Q3086831,Fred Forest,Argélia,28.0,1.0,1933-07-06T00:00:00Z,Mascara,35.4,0.13333334,,
"Freddy Flores , Jorge Leal Labrín , Rik Lina , Miguel Lohlé",,,,,,,,,,,
Frieda Hunziker,http://www.wikidata.org/entity/Q19755833,Frieda Hunziker,Reino dos Países Baixos,52.366665,4.883333,1908-10-17T00:00:00Z,Amesterdão,52.366665,4.883333,1966-09-09T00:00:00Z,Amesterdão
Friedrich Vordemberg-Gildewart,,,,,,,,,,,
Fulvio Pennacchi,http://www.wikidata.org/entity/Q5508504,Fulvio Pennacchi,Brasil,-14.0,-53.0,1905-01-01T00:00:00Z,Villa Collemandina,44.166668,10.4,1992-01-01T00:00:00Z,São Paulo
Fábio Barbosa,,,,,,,,,,,
Fábio Miguez,,,,,,,,,,,
Fábio Moreira Leite,,,,,,,,,,,
Féliks Podsiadly,,,,,,,,,,,
Félix Labisse,,,,,,,,,,,
Gabor Peterdi,http://www.wikidata.org/entity/Q970016,Gabor F. Peterdi,Estados Unidos,39.828175,-98.5795,1915-09-17T00:00:00Z,Pestújhely,47.535,19.124722,2001-08-13T00:00:00Z,Stamford
Gabriel Macotela,http://www.wikidata.org/entity/Q18223319,Gabriel Macotela,México,23.0,-102.0,1954-10-07T00:00:00Z,Guadalajara,20.67639,-103.342224,,
Gabriela Albergaria,http://www.wikidata.org/entity/Q55379420,Gabriela Albergaria,Portugal,38.7,-9.183333,1965-01-01T00:00:00Z,Vale de Cambra,40.85,-8.4,,
Gabriela Machado,http://www.wikidata.org/entity/Q65922342,Gabriela Machado,Brasil,-14.0,-53.0,1960-01-01T00:00:00Z,Joinville,-26.303888,-48.845833,,
Garo Antreasian,http://www.wikidata.org/entity/Q26155343,Garo Zareh Antreasian,Estados Unidos,39.828175,-98.5795,1922-02-16T00:00:00Z,Indianápolis,39.768612,-86.15806,2018-11-03T00:00:00Z,
Gastão Frazão,,,,,,,,,,,
Gastão Hofstetter,http://www.wikidata.org/entity/Q10288478,Gastão Hofstetter,Brasil,-14.0,-53.0,1917-01-01T00:00:00Z,Porto Alegre,-30.032778,-51.23,1986-01-01T00:00:00Z,
Gastão de Magalhães,,,,,,,,,,,
Gaudêncio Fidelis,http://www.wikidata.org/entity/Q10288516,Gaudêncio Fidelis,Brasil,-14.0,-53.0,1965-02-02T00:00:00Z,Gravataí,-29.943333,-50.99389,,
Genaro de Carvalho,http://www.wikidata.org/entity/Q10288673,Genaro de Carvalho,Brasil,-14.0,-53.0,1926-11-10T00:00:00Z,Salvador,-12.983055,-38.49278,1971-06-02T00:00:00Z,
Genilson Soares,http://www.wikidata.org/entity/Q112208555,Genilson Soares,Brasil,-14.0,-53.0,1940-01-01T00:00:00Z,João Pessoa,-7.12,-34.88,,
Georg Brenninger,http://www.wikidata.org/entity/Q89660,Georg Brenninger,Alemanha,51.0,10.0,1909-12-18T00:00:00Z,Velden,48.366665,12.25,1988-11-13T00:00:00Z,Munique
George Grosz,http://www.wikidata.org/entity/Q107194,Georg Grosz,Alemanha,51.0,10.0,1893-07-26T00:00:00Z,Berlim,52.516666,13.383333,1959-07-06T00:00:00Z,Berlim Ocidental
Georges Braque,http://www.wikidata.org/entity/Q153793,Georges Braque,França,47.0,2.0,1882-05-13T00:00:00Z,Argenteuil,48.947777,2.248889,1963-08-31T00:00:00Z,Paris
Georges Collignon,http://www.wikidata.org/entity/Q3102501,Georges Collignon,Bélgica,50.64111,4.6680555,1923-08-26T00:00:00Z,Flémalle,50.6011,5.4628,2002-02-05T00:00:00Z,Liège
Georges Rackus,,,,,,,,,,,
Geraldo de Barros,http://www.wikidata.org/entity/Q10289122,Geraldo de Barros,Brasil,-14.0,-53.0,1923-02-27T00:00:00Z,Chavantes,-23.038889,-49.709446,1998-04-17T00:00:00Z,São Paulo
Geraldo de Souza,,,,,,,,,,,
Gerda Brentani,http://www.wikidata.org/entity/Q94118734,Gerda Brentani,Itália,42.5,12.5,1906-01-01T00:00:00Z,Trieste,45.650276,13.770278,1999-07-26T00:00:00Z,São Paulo
Germaine Richier,http://www.wikidata.org/entity/Q435149,Germaine Richier,França,47.0,2.0,1902-09-16T00:00:00Z,Grans,43.608612,5.0630555,1959-07-21T00:00:00Z,Montpellier
Germana Monte-Mór,http://www.wikidata.org/entity/Q100572887,Germana Monte-Mór,Brasil,-14.0,-53.0,1958-01-01T00:00:00Z,Rio de Janeiro,-22.911112,-43.205555,,
Gerson Zanini,,,,,,,,,,,
Gerty Saruê,,,,,,,,,,,
Giacomo Manzù,,,,,,,,,,,
Giancarlo Braghieri,,,,,,,,,,,
Giancarlo Isola,http://www.wikidata.org/entity/Q130727134,Giancarlo Isola,Itália,42.5,12.5,1927-12-28T00:00:00Z,Livorno,43.55,10.316667,2018-01-01T00:00:00Z,
Gianfilippo Usellini,http://www.wikidata.org/entity/Q3763019,Gianfilippo Usellini,Reino da Itália,41.9,12.5,1903-05-07T00:00:00Z,Milão,45.466946,9.19,1971-08-21T00:00:00Z,Arona
Gianni Parziale,http://www.wikidata.org/entity/Q8964004,Gianni Parziale,Brasil,-14.0,-53.0,1934-10-03T00:00:00Z,Bréscia,45.538887,10.220281,,
Gilberto Jiménez,http://www.wikidata.org/entity/Q11699817,Gilberto Jiménez,México,23.0,-102.0,1973-02-04T00:00:00Z,Cidade do México,19.353773,-99.13589,,
Gilberto Salvador,http://www.wikidata.org/entity/Q10289574,Gilberto Salvador,Brasil,-14.0,-53.0,1946-12-16T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Gilbertto Prado,http://www.wikidata.org/entity/Q101235717,Gilbertto Prado,Brasil,-14.0,-53.0,1954-08-16T00:00:00Z,Santos,-23.9336,-46.32864,,
"Gilbertto Prado , Grupo Poéticas Digitais 2010-2022",,,,,,,,,,,
Gilson Ramos Barbosa,,,,,,,,,,,
Gilvan Samico,http://www.wikidata.org/entity/Q10289649,Gilvan Samico,Brasil,-14.0,-53.0,1928-06-15T00:00:00Z,Recife,-8.053889,-34.880833,2013-11-25T00:00:00Z,Recife
Ginés Parra,http://www.wikidata.org/entity/Q3106845,Ginés Parra,França,47.0,2.0,1896-01-24T00:00:00Z,Almeria,36.841667,-2.463889,1960-04-19T00:00:00Z,França
Giorgio De Chirico,,,,,,,,,,,
Giorgio Morandi,http://www.wikidata.org/entity/Q309618,Giorgio Morandi,Reino da Itália,41.9,12.5,1890-07-20T00:00:00Z,Bolonha,44.49389,11.342778,1964-06-18T00:00:00Z,Bolonha
Gisela Eichbaum,http://www.wikidata.org/entity/Q63883105,Gisela Eichbaum,Brasil,-14.0,-53.0,1920-01-01T00:00:00Z,Mannheim,49.487778,8.466111,1996-01-01T00:00:00Z,São Paulo
Giselda Leirner,http://www.wikidata.org/entity/Q3107764,Giselda Leirner,Brasil,-14.0,-53.0,1928-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Giselle Beiguelman,http://www.wikidata.org/entity/Q25429634,Giselle Beiguelman,Brasil,-14.0,-53.0,1962-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
