Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
,,Federal University of Rio Grande do Sul,,,,,
,,Pontifícia Universidade Católica do Rio Grande do Sul,,,,,
,,Central School of Art and Design,,,,,
Amílcar de Castro,Brazil,Federal University of Minas Gerais,,Paraisópolis,,Belo Horizonte,male
Ana Alice Francisquetti,,,,,,,
Ana Amorim,Brazil,,,São Paulo,,,female
Ana Cristina Andrade,,,,,,,
Ana Luiza Dias Batista,,,,,,,female
Ana Maria Tavares,Brazil,Fundação Armando Alvares Penteado,,Belo Horizonte,,,female
,,School of the Art Institute of Chicago,,,,,
,,University of São Paulo,,,,,
Ana Santos,Mexico,,,Tlaxcala de Xicoténcatl,,,female
Ana Teixeira,,,,,,,
Analívia Cordeiro,Brazil,Faculty of Architecture and Urbanism of the University of São Paulo,,São Paulo,,,female
,,University of Campinas,,,,,
,,Pontifícia Universidade Católica de São Paulo,,,,,
Anatol Władysław,Brazil,,,Warsaw,,São Paulo,male
Andrea Campos de Sá,,,,,,,
Andrea Cascella,Italy,,,Pescara,,Milan,male
Pietro Cascella,Italy,,,Pescara,,Pietrasanta,male
Andrea Montin,,,,,,,
André Bruyère,France,,,Orléans,,4th arrondissement of Paris,male
Fernand Léger,France,Académie Julian,French,Argentan,Gif-sur-Yvette,Gif-sur-Yvette,male
,,École nationale supérieure des arts décoratifs,,,,,
André Lhote,France,école des beaux-arts de Bordeaux,,Bordeaux,Montparnasse Cemetery,Paris,male
أندريه ماسون,France,Beaux-Arts de Paris,,Balagny-sur-Thérain,,4th arrondissement of Paris,male
André Ricardo,,,,,,,
Andréa Brown,,,,,,,
Andrés Vásquez Gloria,,,,,,,
Andrzej Lachowicz,Poland,,,Vilnius,,Wrocław,male
Andrzej Meissner,,,,,,,
Andrzej Nowacki,,University of Innsbruck,,Rabka-Zdrój,,,male
Andrzej Różycki,Poland,National Film School in Łódź,,Baranavichy,Stary Cmentarz w Łodzi,,male
Anésia Pacheco e Chaves,,,,,,,
