Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
A. Bierry,,,,,,,
A. Correa Costa,,,,,,,
A. Tinoco,,,,,,,
A.Guedes,,,,,,,
Antoine Léon Morel-Fatio,France,Lycée Louis-le-Grand,,Rouen,Montmartre Cemetery,1st arrondissement of Paris,male
,Switzerland,Lycée Condorcet,,,,,
,,Lycée Pierre-Corneille,,,,,
Antoine Mortier,Belgium,,,Saint-Gilles,,Auderghem,male
Antoine Vestier,France,,,Avallon,,Paris,male
Antoine Vollon,France,École nationale supérieure des beaux-arts de Lyon,French,Lyon,Père Lachaise Cemetery,Paris,male
,,,,,Grave of Vollon,,
安东尼·塔皮埃斯,Spain,German School of Barcelona,,Barcelona,Cementiri de Collserola,Barcelona,male
Antonio Alice,Argentina,,,Buenos Aires,,Buenos Aires,male
Antônio Bandeira,Brazil,Beaux-Arts de Paris,African Brazilians,Fortaleza,,Paris,male
,,Académie de la Grande Chaumière,,,,,
António Carneiro,Portugal,University of Porto,,Amarante,,Porto,male
,Kingdom of Portugal,,,,,,
António Carvalho de Silva Porto,Kingdom of Portugal,Beaux-Arts de Paris,,Porto,Alto de São João Cemetery,Lisbon,male
,,Escola Superior de Belas-Artes do Porto,,,,,
Antonio Corpora,Kingdom of Italy,Tunis Institute of Fine Arts,,Tunis,,Rome,male
,Italy,,,,,,
"Antônio Correa e Castro, “Antonico”",,,,,,,
Antônio de Souza Lobo,Brazil,,,Campos dos Goytacazes,,Rio de Janeiro,male
Antonio Dias,Brazil,,,Campina Grande,,Rio de Janeiro,male
Antônio Parreiras,Brazil,,,Niterói,,Niterói,male
Antonio Fernández Gómez,Spain,,,Goián,,Goián,male
Antonio Ferrigno,Kingdom of Italy,Accademia di Belle Arti di Napoli,,Maiori,,Salerno,male
Antônio Firmino Monteiro,Brazil,,African Brazilians,Rio de Janeiro,,Niterói,male
"Antônio Francisco Lisboa, Aleijadinho (atribuição)",,,,,,,
Antônio Frederico de Castro Alves,Brazil,Faculdade de Direito do Recife,Pardo Brazilians,Muritiba,Cemitério do Campo Santo,Salvador,male
,,"Law School, University of São Paulo",,,,,
Antonio Gomide,Brazil,,,Itapetininga,,,male
Antônio Guimarães,Brazil,,,Rio de Janeiro,,,male
Antonio Henrique Amaral,Brazil,,,São Paulo,,São Paulo,male
Antônio José dos Santos,,,,,,,
Antonio Lizárraga,,,,,,,male
Antonio Mancini,Kingdom of Italy,Accademia di Belle Arti di Napoli,,Albano Laziale,Santi Bonifacio e Alessio,Rome,male
Antonio Maria Vassallo,history of Genoa,,,Genoa,,Milan,male
Antônio Parreiras,Brazil,,,Niterói,,Niterói,male
António Pedro,Portugal,University of Lisbon,,Praia,,Freguesia de Moledo,male
Antônio Rafael Pinto Bandeira,Brazil,,African Brazilians,Niterói,,Rio de Janeiro,male
Antonio Seguí,Argentina,,,Villa Allende,Cemetery of Arcueil,Buenos Aires,male
,France,,,,,,
Arcangelo Ianelli,Brazil,,,São Paulo,,São Paulo,male
Ardengo Soffici,Kingdom of Italy,,,Rignano sull'Arno,,Vittoria Apuana,male
,Italy,,,,,,
Arlindo Daibert,,,,,,,
Armand Guillaumin,France,,,Paris,,Orly,male
Armando Morales,Nicaragua,,,Granada,,Miami,male
Armando Viana,Brazil,,,,,,male
Arnaldo Ferrari,Brazil,,,,,,male
Arnaldo Pedroso d' Horta,,,,São Paulo,,São Paulo,male
Arnaud Pallière,France,,,Bordeaux,,Bordeaux,male
,Brazil,,,,,,
Arnaud Pallière,France,,,Bordeaux,,Bordeaux,male
,Brazil,,,,,,
Arsênio Fortunato cintra da  Silva,Brazil,,,Recife,,Salvador,male
Arthur Dove,United States,Cornell University,,Canandaigua,,Huntington,male
Arthur Kaufmann,Germany,Kunstakademie Düsseldorf,,Mülheim an der Ruhr,,Nova Friburgo,male
,United States,,,,,,
Arthur Luiz Piza,Brazil,,,São Paulo,,Neuilly-sur-Seine,male
Arthur Osver,United States,,,Chicago,,St. Louis,male
Artur Barrio,Portugal,Escola Nacional de Belas Artes,,Porto,,,male
