Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
A. Bierry,,,,,,,
A. Correa Costa,,,,,,,
A. Tinoco,,,,,,,
A.Guedes,,,,,,,
,Brazil,,,,,,
François-Auguste Biard,France,École nationale supérieure des beaux-arts de Lyon,,Lyon,,Fontainebleau,male
François-Hubert Drouais,France,,,Paris,,Paris,male
François-René Moreaux,France,,,Rocroi,,Rio de Janeiro,male
,Brazil,,,,,,
Frans Hals,Dutch Republic,,Dutch,Antwerp,Grote Kerk,Haarlem,male
Frans Krajcberg,Brazil,State Academy of Fine Arts Stuttgart,,Kozienice,,Rio de Janeiro,male
,Poland,,,,,,
Frans Post,Dutch Republic,,,Haarlem,Grote Kerk,Haarlem,male
Franz Josef Frühbeck,Germany,,,Vienna,,Krieglach,male
Franz Keller-Leuzinger,German Empire,,,Mannheim,,Munich,male
Frei Nazareno Confaloni,,,,,,,
Friderico Pusthow G.,,,,,,,
Friedrich Dürck,Kingdom of Saxony,,,Leipzig,,Munich,male
Friedrich Hagedorn,Brazil,"Academy of Fine Arts, Munich",,Szczecin,,Rio de Janeiro,male
Friedrich Salathé,Switzerland,,,Binningen,,Paris,male
Friedrich Vordemberg-Gildewart,,,,,,,
Fritz Winter,Germany,Bauhaus,,Bönen,,Herrsching am Ammersee,male
Fulvio Pennacchi,Brazil,,,Villa Collemandina,,São Paulo,male
Giuseppe Bruschetti,Kingdom of Italy,,,Milan,,Milan,male
,Kingdom of Lombardy–Venetia,,,Cannero Riviera,,,
,Kingdom of Sardinia,,,,,,
G. KENT,,,,,,,
G. Le Barbier,,,,,,,male
G. Rovello,,,,,,,
Gabriel Duperré,,,,,,,male
Gabriela Albergaria,Portugal,Faculty of Fine Arts of the University of Porto,,Vale de Cambra,,,female
,,University of Porto,,,,,
Gaspar Falco,France,,,Mostaganem,,,male
Gastão Frazão,,,,,,,
Gaston Bertrand,Belgium,,,Bassenge,,Brussels metropolitan area,male
Genaro de Carvalho,Brazil,,,Salvador,,,male
Genesco Murta,Brazil,,,Minas Novas,,Belo Horizonte,male
Georg Grimm,Kingdom of Bavaria,"Academy of Fine Arts, Munich",,Immenstadt im Allgäu,,Palermo,male
Georges Braque,France,Beaux-Arts de Paris,,Argenteuil,Varengeville-Sur-Mer Churchyard,Paris,male
,,École supérieure d'art et design Le Havre-Rouen,,,,,
Georges Capgras,France,,,Joinville-le-Pont,,Paris,male
Georges Corbisier,Brazil,,,Courbevoie,,,male
,France,,,,,,
Georgina de Albuquerque,Brazil,Académie Julian,,Taubaté,,Rio de Janeiro,female
Geraldo de Barros,Brazil,,,Chavantes,,São Paulo,male
,,,,São Paulo,,,
Geraldo Trindade Leal,Brazil,,,Santana do Livramento,,Porto Alegre,male
Gerda Brentani,Italy,,,Trieste,,São Paulo,female
Gerhard Richter,Germany,Kunstakademie Düsseldorf,,Dresden,,,male
Germana Monte-Mór,Brazil,,,Rio de Janeiro,,,female
Germano Wahnschaffe,,,,Germany,,,male
Gerrit Benner,Kingdom of the Netherlands,,,Leeuwarden,,Nijemirdum,male
Gerrit Willem van Blaaderen,Kingdom of the Netherlands,,,Nieuwer-Amstel,,Bergen,male
Gerson Pompeu,Brazil,Escola Nacional de Belas Artes,,Campinas,,Rio de Janeiro,male
Gerson Tavares,,,,,,,male
Giambattista Pittoni,Republic of Venice,,,Venice,San Giacomo dell'Orio,Venice,male
Giampietrino,,,,Lombardy,,,male
Gianfilippo Usellini,Italy,Brera Academy,,Milan,,Arona,male
,Kingdom of Italy,,,,,,
Gilbert Stuart,United States,,,North Kingstown,Massachusetts,Boston,male
Gilberto Jiménez,Mexico,,,Mexico City,,,male
Gilda Vogt,Brazil,,,,,,female
Gilda Vogt,Brazil,,,,,,female
Gilson Ramos Barbosa,,,,,,,
Ginés Parra,Spain,,,Almería,,France,male
,France,,,,,,
Gino Bruno,,,,,,,
Gino Severini,Italy,,Italians,Cortona,,Paris,male
,Kingdom of Italy,,,,,,
,France,,,,,,
Giorgio de Chirico,Italy,"Academy of Fine Arts, Munich",,Volos,San Francesco a Ripa,Rome,male
,,Athens School of Fine Arts,,,,,
Giorgio Morandi,Italy,Academy of Fine Arts of Bologna,,Bologna,Certosa di Bologna,Bologna,male
,Kingdom of Italy,,,,,,
Giovanni Battista Castagneto,Brazil,,,Genoa,,Rio de Janeiro,male
,Kingdom of Italy,,,,,,
Giovanni Bellini,Republic of Venice,,,Venice,Santi Giovanni e Paolo,Venice,male
Giovanni Boldini,Kingdom of Italy,Accademia delle Arti del Disegno,,Ferrara,Certosa of Ferrara,Paris,male
Giovanni Sarracino,Italy,,,Torre del Greco,,Brazil,male
Gisela Eichbaum,Brazil,,,Mannheim,,São Paulo,female
Giselda Leirner,Brazil,University of São Paulo,,São Paulo,,,female
,,Art Students League of New York,,,,,
Giuliano Vangi,Italy,,,Barberino di Mugello,,Pesaro,male
Giulio Turcato,Italy,Accademia di Belle Arti di Venezia,,Mantua,,Rome,male
,Kingdom of Italy,,,,,,
Giuseppe Amisani,Kingdom of Italy,Brera Academy,,Mede,,Portofino,male
Giuseppe Capogrossi,Italy,Sapienza University of Rome,,Rome,,Rome,male
,Kingdom of Italy,,,,,,
Giuseppe Leone Righini,Brazil,,,Turin,,Belém,male
Giuseppe Morrocchi,,,,,,,
Giuseppe Santomaso,Italy,Accademia di Belle Arti di Venezia,,Venice,,Venice,male
,Kingdom of Italy,,,,,,
,Italy,,,,,,
Gladis Reveilleau,,,,,,,
Graciliano Vicente Xavier,Brazil,,,São Paulo,,São Paulo,male
Graham Sutherland,United Kingdom,"Goldsmiths, University of London",,Streatham,,Streatham,male
,United Kingdom of Great Britain and Ireland,Epsom College,,,,,
,,Homefield Preparatory School,,,,,
Gustave Courbet,France,Académie Suisse,French,Ornans,Cimetière Communal d'Ornans,La Tour-de-Peilz,male
Gustave James,,,,,,,male
Gustave Singier,Belgium,,,Warneton,,14th arrondissement of Paris,male
,France,,,,,,
Gustavo Dall'Ara,Brazil,,,Rovigo,,,male
Gustavo von Ha,,,,,,,male
Hans Hartung,Germany,,,Leipzig,,Antibes,male
,France,,,,,,
Hans Holbein the Younger,Holy Roman Empire,,Germans,Augsburg,"Church of St Katharine Cree, London",London,male
,Switzerland,,,,,,
,France,,,,,,
Hans Memling,Habsburg Netherlands,,,Seligenstadt,Sint-Gilliskerk Brugge,Bruges,male
,Germany,,,Mainz,,,
Hans Nöbauer,Austria,,,Vienna,,Rio de Janeiro,male
Hans Platschek,Germany,,,Berlin,,Hamburg,male
Hans Uhlmann,Germany,,,Berlin,,Berlin,male
Heiner Kielholz,Switzerland,,,Rheinfelden,,,male
Heinz Battke,Germany,,,Berlin,,Frankfurt,male
Heinz Kühn,,,,,,,male
Heitor,,,,,,,
Heitor dos Prazeres,Brazil,,African Brazilians,Rio de Janeiro,,Rio de Janeiro,male
,,,Black people,,,,
Helen Faganello,,,,,,,
Hélio Basto,,,,,,,
Hélio Oiticica,Brazil,"Museum of Modern Art, Rio de Janeiro",,Rio de Janeiro,,Rio de Janeiro,male
,,University of Sussex,,,,,
Helios Seelinger,Brazil,,,Rio de Janeiro,,,male
亨利·德·土魯斯-羅特列克,France,Lycée Condorcet,French,Albi,Verdelais,Château Malromé,male
Henri Matisse,France,Beaux-Arts de Paris,,Le Cateau-Cambrésis,Cimetière de Cimiez,Nice,male
,,Académie Julian,,,,,
Henri Nicolas Vinet,France,,,Paris,,Niterói,male
Henrique Bernardelli,Brazil,,,Valparaíso,,Rio de Janeiro,male
Henrique José da Silva,Kingdom of Portugal,,,Lisbon,,,male
Henrique Fuhro,Brazil,,,Rio Grande,,,male
Henrique Manzo,Brazil,,,São Bernardo do Campo,,São Paulo,male
Henrique Pinto,Portugal,,,Cacilhas,,Figueiró dos Vinhos,male
,Kingdom of Portugal,,,,,,
Henry Lieutenant Chamberlain,,,,,,,
Henry Raeburn,United Kingdom of Great Britain and Ireland,George Heriot's School,Scottish people,Stockbridge,,Edinburgh,male
,Kingdom of Great Britain,,,,,,
Hercules Araújo,,,,,,,
Hércules Barsotti,Brazil,Colégio Dante Alighieri,,São Paulo,,São Paulo,male
Hércules Florence,Brazil,,,Nice,,Campinas,male
,France,,,,,,
Herman Tacasey,,,,,,,
Hermann Petzet,Germany,"Academy of Fine Arts, Munich",,Bonnland,,Munich,male
Hermelindo Fiaminghi,Brazil,,,São Paulo,,São Paulo,male
Hiedy de Assis Corrêa,,,,,,,
Hieronymus Bosch,Northern Low Countries,,Dutch,’s-Hertogenbosch,’s-Hertogenbosch,’s-Hertogenbosch,male
Hilde Weber,Brazil,Hochschule für bildende Künste Hamburg,,Waldau,,São Paulo,female
,Germany,,,,,,
Hildebrando de Castro,,,,,,,
Hippolyte Vanderburch,France,,,Paris,,former 9th arrondissement of Paris,male
Hissao Sakakibara,,,,,,,
Honoré Marius Bérard,France,,,Salindres,,Saint-Martin-de-Valgalgues,male
Honório Esteves,Brazil,,,Ouro Preto,,,male
Horácio Hora,Brazil,,,Laranjeiras,,Paris,male
Hugo Adami,Brazil,,,São Paulo,,,male
Hugo Calgan,Germany,,,Berlin,,,male
Humberto Espíndola,Brazil,,,Campo Grande,,,male
Humberto Jaimess-Sanchez,,,,,,,
Friedensreich Hundertwasser,Austria,Academy of Fine Arts Vienna,,Vienna,Hundertwasser Estate,Australia,male
,New Zealand,,,,,,
I. de Sampaio Mathissen,,,,,,,male
Iberê Camargo,Brazil,,,Restinga Sêca,Cemitério Antigo 01 Caxias do Sul.,Porto Alegre,male
Ion Oana Potecasu,,,,,,,
Iran do Espirito Santo,Brazil,Fundação Armando Alvares Penteado,,Mococa,,,male
Ismael Nery,Brazil,Académie Julian,,Belém,,Rio de Janeiro,male
,,Escola Nacional de Belas Artes,,,,,
Ismenia Coaracy,Brazil,,,Sertãozinho,,São Paulo,female
Ivald Granato,Brazil,,,Campos dos Goytacazes,,São Paulo,male
Իվան Սերպա,Brazil,,,Tijuca,,Rio de Janeiro,male
Ivonaldo Veloso de Melo,Brazil,,,Caruaru,,,male
J. Janssens | Martinho (padre),,,,,,,
J. M. D'Avila,,,,,,,
J. M. W. Turner,Kingdom of Great Britain,Royal Academy of Arts,,Maiden Lane,St Paul's Cathedral,Cheyne Walk,male
,United Kingdom of Great Britain and Ireland,,,,,,
Julius LeBlanc Stewart,United States,Beaux-Arts de Paris,,Philadelphia,,Paris,male
Jacopo Tintoretto,Republic of Venice,,,Venice,Madonna dell'Orto,Venice,male
Jagobo Pan,,,,,,,
Jaime Prades Vianna,Brazil,,,Madrid,,,male
James Kudo,,,,,,,
Jan de Baen,Dutch Republic,Haagsche Teekenacademie,,Haarlem,,The Hague,male
Ян Лебенштейн,Poland,,,Brest,Powązki Cemetery,Kraków,male
Jan van Kessel the Elder,Habsburg Netherlands,,,Antwerp,,Antwerp,male
Jandyra Waters,,,,,,,female
Jarbas Juarez Antunes,,,,,,,
Jayme Batista Paiva,,,,,,,
Jean Dewasne,France,École des Beaux-Arts,,Hellemmes,,20th arrondissement of Paris,male
,,Académie de la Grande Chaumière,,,,,
Jean-Jacques Deyrolle,France,,,Nogent-sur-Marne,,Toulon,male
Jean Joseph Bilfeldt,France,,,Avignon,,Paris,male
Jean Le Moal,France,,,Authon-du-Perche,,Chilly-Mazarin,male
Jean Metzinger,France,,,Nantes,,Paris,male
Jean Rustin,France,Beaux-Arts de Paris,,Montigny-lès-Metz,,20th arrondissement of Paris,male
Jean-Auguste-Dominique Ingres,France,Beaux-Arts de Paris,,Montauban,Père Lachaise Cemetery,Paris,male
,,French Academy in Rome,,,,,
Jean-Baptiste Camille Corot,France,Lycée Pierre-Corneille,,Paris,Père Lachaise Cemetery,Paris,male
,,Académie Suisse,,,,,
Jean-Baptiste Courtois,,,,Saint-Hippolyte,,,male
Jean-Baptiste Debret,France,Lycée Louis-le-Grand,,Paris,Montmartre Cemetery,Paris,male
,,Beaux-Arts de Paris,,,,,
,,École Nationale des Ponts et Chaussées,,,,,
Jean-Baptiste Marie Pierre,France,Académie royale de peinture et de sculpture,,Paris,,Paris,male
Jean-Baptiste Olive,France,École des beaux-arts de Marseille,,Marseille,Saint-Ouen Cemetery,Paris,male
Jean-Baptiste Pater,France,,,Valenciennes,,Paris,male
Jean-Baptiste-Siméon Chardin,France,Académie de Saint-Luc,,Paris,,Paris,male
Jean-Frédéric Bosset de Luze,Switzerland,,,Neuchâtel,,Neuchâtel,male
Jean-Honoré Fragonard,France,École royale des élèves protégés,,Grasse,"Saint-Roch, Paris",former 2nd arrondissement of Paris,male
,French constitutional monarchy,French Academy in Rome,,,,,
,,Beaux-Arts de Paris,,,,,
Jean-Jacques François Coindet,Switzerland,,,Geneva,,Clarens,male
Jean-Marc Nattier,France,,,Paris,Church of Saint Eustache,Paris,male
Yefim Golyshev,Russian Empire,,,Kherson,,Neuilly-sur-Seine,male
Jenner Augusto,Brazil,,,Aracaju,,Salvador,male
Jesús Rafael Soto,Venezuela,,,Ciudad Bolívar,Montparnasse Cemetery,3rd arrondissement of Paris,male
,France,,,,,,
Jim Leon,United Kingdom,,,Wolverhampton,,6th arrondissement of Lyon,male
Joan Miró,Spain,,,Barcelona,Montjuïc Cemetery,Palma,male
Joan Ponç,Spain,,,Barcelona,,Saint-Paul-de-Vence,male
João Abel Manta,Portugal,University of Lisbon,,Lisbon,,,male
João Ayres,,,,,,,male
João Batista Bordon,Brazil,,,,,,male
João Batista da Costa,Brazil,Académie Julian,,Itaguaí,,Rio de Janeiro,male
João Batista Calixto de Jesus,,,,,,,male
João Câmara,Brazil,Federal University of Pernambuco,,João Pessoa,,,male
,,Catholic University of Pernambuco,,,,,
João Francisco Lopes Rodrigues,Brazil,,,Salvador,,,male
João Garboggni Quaglia,,,,,,,
João Lopes Maciel (atribuição),,,,,,,
João Nepomuceno Correia e Castro (atribuição),,,,,,,
João Timóteo da Costa,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
João Zeferino da Costa,Brazil,Federal University of Rio de Janeiro,,Rio de Janeiro,,Rio de Janeiro,male
Joãozinho,,,,,,,
Joaquim Cândido Guilhobel,Kingdom of Portugal,,,Lisbon,,,male
Joaquim da Rocha Ferreira,Brazil,São Paulo School of Arts and Crafts,,São Paulo,,São Paulo,male
,,National School of Fine Arts,,,,,
Joaquim da Rocha Fragoso,Brazil,,,Rio de Janeiro,,Rome,male
Joaquim José da Natividade,Brazil,,,,,,male
Joaquim Lopes Figueira,,,,,,,
Joaquim Manuel da Rocha,Kingdom of Portugal,,,Lisbon,,Lisbon,male
Joaquín Agrasot y Juan,Spain,Reial Acadèmia de Belles Arts de Sant Carles de València,,Orihuela,General Cemetery of Valencia,Valencia,male
Yohanan Simon,Israel,Beaux-Arts de Paris,,Berlin,Kfar Shmaryahu Cemetery,Tel-Aviv,male
Johann gutlich,Kingdom of the Netherlands,,,Rotterdam,,,male
Johann Moritz Rugendas,Kingdom of Bavaria,,,Augsburg,,Weilheim an der Teck,male
John Constable,Kingdom of Great Britain,Royal Academy of Arts,,East Bergholt,St John-at-Hampstead,Charlotte Street,male
,United Kingdom of Great Britain and Ireland,figure drawing,,,,London,
,United Kingdom,,,,,,
Jonas de Barros,Brazil,,,Itu,,,male
Jordão de Oliveira,Brazil,,,Aracaju,,Brazil,male
Jordão de Oliveira,Brazil,,,Aracaju,,Brazil,male
Jorge Manuel Theocupulus,Spain,,,Toledo,,Toledo,male
Jorge Páez Vilaró,Uruguay,,,Montevideo,,Montevideo,male
Agostinho José da Mota,Brazil,Academia Imperial de Belas Artes,,Rio de Janeiro,,Rio de Janeiro,male
José Antônio da Silva,Brazil,,,Sales Oliveira,,São Paulo,male
José Barreto de Menezes,,,,,,,male
José Canella Filho,Brazil,,,São Manuel,,São Paulo,male
José Carlos Martinat,Peru,,,,,,male
José Claudio Da Silva,Brazil,,,,,,male
José Constantino Benedito de Faria Barros,,,,,,,
José Correia de Lima,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
José de Paula Barros,,,,,,,male
José Ferraz de Almeida Júnior,Brazil,Academia Imperial de Belas Artes,,Itu,,Piracicaba,male
José Gamarra,Uruguay,,,Tacuarembó,,,male
José Hertzer,,,,,,,male
José Jardim de Araújo,,,,,,,male
José Joaquim Monteiro França,Brazil,,,Pindamonhangaba,,São Paulo,male
José Júlio de Sousa Pinto,Portugal,Escola Superior de Belas-Artes do Porto,,Angra do Heroísmo,,Pont-Scorff,male
,Kingdom of Portugal,,,,,,
José Leandro de Carvalho,Kingdom of Portugal,,,,,Rio de Janeiro,male
Jose Luis Cuevas,Mexico,"Escuela Nacional de Pintura, Escultura y Grabado La Esmeralda",,Mexico City,,Mexico City,male
José Malhoa,Portugal,,,Caldas da Rainha,Prazeres Cemetery,Figueiró dos Vinhos,male
,Kingdom of Portugal,,,,,,
José Maria da Silva Paranhos,,,,,,,
José Maria de Medeiros,Brazil,,,,,Rio de Janeiro,male
,Kingdom of Portugal,,,,,,
,Portugal,,,,,,
José Maria dos Reis Júnior,Brazil,,,,,,male
José Mauro de Vasconcelos,Brazil,,,Rio de Janeiro,,São Paulo,male
José Pancetti,Brazil,,,Campinas,,Rio de Janeiro,male
Josepe Pedrepeee Castillolo,Uruguay,,,Montevideo,,,male
José Pinelo Llull,Spain,,,Cádiz Province,,Seville,male
José Roberto Aguilar,Brazil,,,São Paulo,,,male
José Rodrigues,Kingdom of Portugal,,,Lisbon,,Lisbon,male
Jose Rueda,,,,,,,
José Simeão de Oliveira,Brazil,,,Rio Grande,,Nova Iorque,male
José Spaniol,Brazil,European Ceramics Work Center,,São Luiz Gonzaga,,,male
José Vieira Ottoni,,,,,,,
José Wasth Rodrigues,Brazil,Académie Julian,,São Paulo,,Rio de Janeiro,male
,,Beaux-Arts de Paris,,,,,
Josef Albers,Germany,"Academy of Fine Arts, Munich",,Bottrop,Orange Center Cemetery,New Haven,male
,United States,Bauhaus,,,,,
,,Willem de Kooning Academy,,,,,
Joseph Tully,,,,,,,
Joshua Reynolds,Kingdom of Great Britain,Hele's School,,Plympton,St Paul's Cathedral,London,male
Juan José Balzi,Argentina,Brera Academy,,Buenos Aires,Araçá Cemetery,São Paulo,male
,Italy,,,,,,
,Kingdom of Italy,,,,,,
Juan Pablo Langlois,Chile,Pontifical Catholic University of Valparaíso,,Santiago,Parque del Recuerdo Cemetery,Santiago,male
,,University of Art and Social Sciences,,,,,
Juan León Pallière,Brazil,,,Rio de Janeiro,,Lorris,male
,France,,,,,,
Juan Ventayol,Uruguay,,,Montevideo,,Montevideo,male
Juarez Silveira,,,,,,,male
Judith Lauand,Brazil,,,Pontal,,São Paulo,female
Jules Ballá,France,Beaux-Arts de Paris,,Rio de Janeiro,,17th arrondissement of Paris,male
Jules Le Chevrel,France,,,France,,Rio de Janeiro,male
Jules Marie Vincent de Sinety,France,,,Aix-en-Provence,,Avignon,male
Jules Victor Génisson,Belgium,,,Saint-Omer,,Bruges,male
,United Kingdom of the Netherlands,,,,,,
Jules-Victor-André Martin,France,,,Montiers,Consolação Cemetery,São Paulo,male
,,,,Marseille,,,
Júlio de Resende,,,,,,,
Julius Heinrich Bissier,Germany,,,Freiburg im Breisgau,,Ascona,male
Julius LeBlanc Stewart,United States,Beaux-Arts de Paris,,Philadelphia,,Paris,male
Julius LeBlanc Stewart,United States,Beaux-Arts de Paris,,Philadelphia,,Paris,male
Júnior Suci,,,,,,,
Karel Appel,Kingdom of the Netherlands,Royal Academy of Fine Arts,,Amsterdam,Père Lachaise Cemetery,Zurich,male
,,Rijksakademie van beeldende kunsten,,,,,
Karl Ernst Papf,Brazil,,,Dresden,,São Paulo,male
Karl Plattner,Italy,Brera Academy,,Mals,,Milan,male
,Kingdom of Italy,Academy of Fine Arts Vienna,,,,,
Karl Robert von Planitz,,,,Eilenburg,,,male
Kazuo Wakabayashi,Japan,,,Kobe,,,
Keiya Sugano,,,,,,,
Kenny Scharf,United States,,,Hollywood,,,male
Koos Hooykaas,Kingdom of the Netherlands,,,Rotterdam,,'s-Graveland,male
Kōzō Mio,Japan,,,,,,male
,Empire of Japan,,,,,,
Krsto Hegedušić,Hungary,,,Petrinja,Mirogoj Cemetery,Zagreb,male
,Socialist Federal Republic of Yugoslavia,,,,,,
L. Masson,,,,,,,
Lair Gago,,,,,,,
Lasar Segall,Brazil,Prussian Academy of Arts,,Vilnius,,São Paulo,male
,Lithuania,,,,,,
Laura Cesana,,,,,,,
Leandro Joaquim,Brazil,,Pardo Brazilians,Rio de Janeiro,,Rio de Janeiro,male
Leda Catunda,Brazil,Fundação Armando Alvares Penteado,,São Paulo,,,female
León Ferrari,Marocain,University of Buenos Aires,,Buenos Aires,Denaro,Buenos Aires,male
Léon Gischia,France,,,Dax,Cemetery of San Michele,Venice,male
Leonel Brayner,,,,,,,
Leonello Berti,,,,,,,male
Leonilson,Brazil,Fundação Armando Alvares Penteado,,Fortaleza,,São Paulo,male
"Leonor de Almeida Portugal, 4th Marquise of Alorna",Kingdom of Portugal,,,Lisbon,Freguesia dos Prazeres,Lisbon,female
Leopoldino Faria,Brazil,,,,,Rio de Janeiro,male
Letícia Burgos,,,,,,,
Letícia Guimarães,Brazil,,,Nova Iguaçu,,,female
Levi Madeira,,,,,,,
Levino Fânzeres,Brazil,Liceu de Artes e Ofícios,,Cachoeiro de Itapemirim,,Rio de Janeiro,male
,,National School of Fine Arts,,,,,
,,Académie Julian,,,,,
Leyla Mattoso,,,,,,,
Lilly Michael,,,,,,,
Lisa Ficker Hoffmann,,,,,,,
Liz Miller,,,,,,,female
Lluís Graner,Spain,Escola de la Llotja,,Barcelona,,Barcelona,male
Lorenzo Indrimi,Italy,,,,,,male
Lorenzo Viani,Kingdom of Italy,,,Viareggio,,Lido di Ostia,male
Lothar Charoux,Brazil,,,Vienna,,São Paulo,male
Louis Buvelot,Australia,,,Morges,Boroondara General Cemetery,Melbourne,male
,Switzerland,,,,,,
Louis Guédy,France,,,Grenoble,,,male
Louis Van Lint,Belgium,Académie des beaux-arts de Saint-Josse-ten-Noode,,Saint-Josse-ten-Noode,,Brussels metropolitan area,male
Louis-Auguste Moreaux,France,,,Rocroi,,Rio de Janeiro,male
,Brazil,,,,,,
Lucas Cranach the Elder,Holy Roman Empire,,,Kronach,Weimar,Weimar,male
,Germany,,,,,,
Lucia Casas de Pilla,,,,,,,
Lúcia Suané,,,,,,,female
Luciano Gregory,,,,,,,
Lucílio de Albuquerque,Brazil,"Law School, University of São Paulo",,Barras,,Rio de Janeiro,male
,,Escola Nacional de Belas Artes,,,,,
,,Beaux-Arts de Paris,,,,,
,,Académie Julian,,,,,
Lucio Fontana,Italy,Brera Academy,,Rosario,,Comabbio,male
,Kingdom of Italy,,,,,,
,Argentina,,,,,,
Lucy Citti Ferreira,Brazil,,,São Paulo,,14th arrondissement of Paris,female
Ludolf Bakhuizen,Dutch Republic,,,Emden,,Amsterdam,male
Luigi Benfatto,Republic of Venice,,,Verona,,Venice,male
Luigi Stalloni,Brazil,,,,,,male
Luís Camargo,,,,,,,
Luis Camnitzer,Uruguay,University of the Republic,,Lübeck,,,male
Luis Enrique Silvestre Guerra,,,,,,,
Luís Maristany de Trias,Brazil,,,Barcelona,,Porto Alegre,male
Luis Martínez Pedro,Cuba,,,,,,male
Luís Teixeira,Kingdom of Portugal,,,,,,male
Luiz Alphonsus,Brazil,,,Belo Horizonte,,,male
Luiz Hermano,Brazil,,,Fortaleza,,,male
Luiz Martins,,,,,,,
Luiz Paulo Baravelli,Brazil,Fundação Armando Alvares Penteado,,,,,male
Luiz Rodolfo Annes,,,,,,,male
Luis Sacilotto,Brazil,,,Santo André,,São Bernardo do Campo,male
Luiza da Fonseca,,,,,,,
Lula Cardoso Ayres,Brazil,,,,,,male
Lydia Okumura,Brazil,Fundação Armando Alvares Penteado,,Osvaldo Cruz,,,female
,,Pratt Graphic Art Center,,,,,
Lygia Clark,Brazil,,,Belo Horizonte,,Rio de Janeiro,female
M. Braçal,,,,,,,
M. Jacques,,,,,,,
M. Sá,,,,,,,
M.D.,,,,,,,
Mac Dougall,,,,,,,male
José de Souza Oliveira Filho,Brazil,,,Macaparana,,,male
Macline,,,,,,,
Manabu Mabe,Brazil,,,Kumamoto Prefecture,,São Paulo,male
Mane-Katz,France,Beaux-Arts de Paris,,Kremenchuk,Hof HaCarmel Cemetery,Tel-Aviv,male
,Israel,,,,,,
Manfredo de Souzanetto,Brazil,,,,,,male
Manoel da Costa Ataíde (atribuição),,,,,,,
Manoel de Oliveira Pastana,Brazil,,,Castanhal,,Rio de Janeiro,male
Manoel Teixeira da Rocha,,,,,,,
Manoel Veiga,,,,,,,
Manuel Álvarez,Spain,Royal Academy of Fine Arts of San Fernando,,Salamanca,,Madrid,male
Manuel Calvo Abad,Spain,,,Oviedo,,Madrid,male
Manuel de Araújo Porto-Alegre,Brazil,Escola Nacional de Belas Artes,,Rio Pardo,,Lisbon,male
Manuel Dias de Oliveira,Brazil,,,Cachoeiras de Macacu,,Campos dos Goytacazes,male
Manuel Faria Guimarães,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Manuel Lopes Rodrigues,Brazil,,,Salvador,,Salvador,male
Manuel Poluceno Pereira da Silva,,,,,,,male
Manuel Teixeira da Rocha,Brazil,,,São Miguel dos Campos,,Rio de Janeiro,male
Maranhense Mello,,,,,,,
Marc Chagall,France,School Yehuda Pen in Vitebsk,Jewish people,Liozna,Cimetière de Saint-Paul-de-Vence,Saint-Paul-de-Vence,male
,Russian Empire,Académie de La Palette,,,,,
,Russian Socialist Federative Soviet Republic,,,,,,
,statelessness,,,,,,
Marcello Nitsche,Brazil,Fundação Armando Alvares Penteado,,São Paulo,,,male
Marcelo Bonevardi,Argentina,,,Buenos Aires,,,male
Marcelo Grassmann,Brazil,,,São Simão,,São Paulo,male
Marcia Schvartz,Argentina,,,Buenos Aires,,,female
Marco Giannotti,Brazil,University of São Paulo,,,,,male
,,University of São Paulo,,,,,
,,University of São Paulo,,,,,
Maria Augusta da Costa Carvalho,Brazil,,,Piracicaba,,,female
Maria Carmen,,,,,,,
Maria Emília Campos,Brazil,,,,,,female
Maria Leontina da Costa,Brazil,,,São Paulo,,,female
Maria Lídia Magliani,Brazil,Federal University of Rio Grande do Sul,African Brazilians,Pelotas,,Rio de Janeiro,female
María Luisa Pacheco,Bolivia,,,La Paz,,New York City,female
,United States,,,,,,
Maria Luiza Pompeu,Brazil,,,Campinas,,Campinas,female
María J. Polo,,University of Cordoba,,,,,female
,,University of Extremadura - Badajoz Campus,,,,,
,,University of Cordoba,,,,,
,,University of Cambridge,,,,,
Maria Salomé,,,,,,,female
Maria Tereza Louro,,,,,,,female
Mariana Manhaes,Brazil,,,Niterói,,,female
Mariana Palma,Brazil,,,São Paulo,,,female
Mariana Silva da Silva,Brazil,,,,,,female
Marianne Peretti,Brazil,Académie de la Grande Chaumière,,Paris,,Recife,female
,France,,,,,,
Marilyn Diggs,,,,,,,
Marina Saleme,,,,,,,female
Mario Ballocco,Italy,Brera Academy,,Milan,,Milan,male
,Kingdom of Italy,,,,,,
Mario Bueno,,,,Guadalajara,,,male
Mario Faustinelli,Italy,,,Venice,,Milan,male
,Kingdom of Italy,,,,,,
Mario Mafai,Italy,,,Rome,,Rome,male
,Kingdom of Italy,,,,,,
Mário Navarro da Costa,Brazil,,,Rio de Janeiro,,Florence,male
Mario Sironi,Italy,,,Sassari,,Milan,male
,Kingdom of Italy,,,,,,
,Italy,,,,,,
Mario Toral,Chile,Beaux-Arts de Paris,,Santiago,,,male
Mário Villares Barbosa,Brazil,,,Campinas,,Madrid,male
Mario Zanini,Brazil,,,São Paulo,,São Paulo,male
Martha Peluffo,Argentina,,,La Plata,,Buenos Aires,female
,,,,Buenos Aires,,,
Mary de Souza,,,,,,,female
Masao Kodama,,,,,,,
